,TABLE_NAME,CONSTRAINT_NAME,COLUMNS
0,MF_AFFECTATION_CAMPAGNE_FLUX,MF_AFF_CAMP_FLUX_MF_CAMP_FK,IDMF_CAMPAGNE
1,MF_CAMPAGNE,MF_CAMP_MF_FLYER_FK,IDMF_FLYER_DEFAUT
2,MF_REGLE_CAMPAGNE,MF_REGLE_CAMP_MF_CAMP_FK,IDMF_CAMPAGNE
3,CENTRE_GESTION,CENTRE_GESTION_MF_FDP_FK,ID_FOND_PAGE
4,CENTRE_GESTION,CENT_GEST_TO_ENTI_RATT_FK,IDER
5,CENTRE_GESTION,CENTRE_GESTION_TO_FACONNIER_FK,IDFACONNIER
6,POST_COMPO,CONF_POST_COMP_TO_CENT_GEST_FK,IDCG
7,ADRESSE_CENTRE,CE_ADRESSE_FK,IDCE
8,REPARTITION_GATEWAY,REPART_GATEWAY_TO_CG_FK,IDCG
9,MF_LISTE_CAT_CONTRAT,MF_LIST_CATCONT_REGL_CAMP_FK,IDMF_REGLE_CAMPAGNE
10,MF_LISTE_PRODUIT,MF_LISTE_PROD_MF_REGLE_CAMP_FK,IDMF_REGLE_CAMPAGNE
11,CAMPAGNE,CAMP_TO_ANNE_FK,IDANNEXE
12,ADRESSE_CENTRE,ER_ADRESSE_FK,IDER
13,ADRESSE_CENTRE,CENTRE_TYPEADRESSE_FK,IDTYPEADRESSE
14,MF_LISTE_TYPE_CONTRAT,MF_LIST_CONT_REGLE_CAMP_FK,IDMF_REGLE_CAMPAGNE
15,CODE_DIFFUSION,CODE_DIFF_TO_FLUX_FK,IDFLUX
16,AFFECTATION_CAMPAGNE_CG,AFFEC_CAMP_CG_TO_CENT_GEST_FK,IDCG
17,CENTRE_GESTION,CENT_GEST_TO_CENT_ENCA_FK,IDCE_INDIVIDUEL
18,DISTRIBUTION_CONFIG,FK_FLUX,ID_FLUX
19,REPARTITION_FACONNIER_ANNEXE,REP_FACON_ANNEXE_TO_ANNEXE_FK,IDANNEXE
20,REPARTITION_GATEWAY,REPART_GATEWAY_TO_FACONNIER_FK,IDFACONNIER
21,MF_LISTE_CG,MF_LISTE_CG_REGL_CAMP_FK,IDMF_REGLE_CAMPAGNE
22,FLUX,FLUX_TO_FACONNIER_FK,IDFACONNIER
23,AFFECTATION_CAMPAGNE_FLUX,AFFEC_CAMP_FLUX_TO_FLUX_FK,IDFLUX
24,MF_LISTE_MODE_GEST_COTI,MF_LISTE_MGC_REGLE_CAMP_FK,IDMF_REGLE_CAMPAGNE
25,CENTRE_ENCAISSEMENT,CODEBQ_CODE_BQ_FK,CODEBQ
26,CENTRE_GESTION,CENT_GEST_TO_CENT_ENCA2_FK,IDCE_COLLECTIF
27,CENTRE_GESTION,CENT_GEST_TO_REGION_FK,IDREGION
28,AFFECTATION_EDITION_ADRESSE,SYS_C0058850,ID_ADRESSE_CENTRE
29,DISTRIBUTION_CONFIG,FK_DISTRIBUTION_CANAL,ID_DISTRIBUTION_CANAL
30,MF_REGLE_CAMPAGNE,MF_REGLE_CAMP_MF_FLYER_FK,IDMF_FLYER
31,CODE_ORIGINE,CODE_ORI_TO_FLUX_FK,IDFLUX
32,ADRESSE_CENTRE,CG_ADRESSE_FK,IDCG
33,DISTRIBUTION_CONFIG,FK_CENTRE_GESTION,ID_CENTRE_GESTION
34,CODE_COURRIER_FILTRE,SYS_C0058857,ID_EDITION
