,OWNER,OBJECT_NAME,OBJECT_TYPE,TABLESPACE_NAME,GROWTH_MB
0,CMNBPMX1,EC_EVENT_INT,TABLE,TD_CMNBPMX1,2225
1,CMNBPMX1,EC_USER_ACTIVITY,TABLE,TD_CMNBPMX1,478
2,CMNBPMX1,EC_WORKER_INFO,TABLE,TD_CMNBPMX1,455
3,CMNBPMX1,IX_EC_WORKER_INFO_IDX1,INDEX,TD_CMNBPMX1,396
4,CMNBPMX1,EC_WI_STATUS,TABLE,TD_CMNBPMX1,389
5,CMNBPMX1,IX_EC_EVENT_IDX1,INDEX,TD_CMNBPMX1,281
6,CMNBPMX1,IX_EC_EVENT_IDX2,INDEX,TD_CMNBPMX1,258
7,CMNBPMX1,IX_EC_ARRAY_IDX1,INDEX,TD_CMNBPMX1,258
8,CMNBPMX1,IX_EC_EVENT_IDX6,INDEX,TD_CMNBPMX1,165
9,CMNBPMX1,EC_PE_STATUS,TABLE,TD_CMNBPMX1,155
10,CMNBPMX1,IX_EC_EVENT_IDX5,INDEX,TD_CMNBPMX1,130
11,CMNBPMX1,EC_ARRAY,TABLE,TD_CMNBPMX1,119
12,CMNBPMX1,IX_EC_EVENT_IDX3,INDEX,TD_CMNBPMX1,95
13,CMNBPMX1,IX_EC_EVENT_IDX4,INDEX,TD_CMNBPMX1,92
14,CMNBPMX1,EC_EVENT_ATTR,TABLE,TD_CMNBPMX1,52
15,CMNBPMX1,IX_EC_EVENT_IDX8,INDEX,TD_CMNBPMX1,48
16,CMNBPMX1,PK_EC_EVENT,INDEX,TD_CMNBPMX1,43
17,CMNBPMX1,EC_CASE_STATUS,TABLE,TD_CMNBPMX1,31
18,CMNBPMX1,IX_EC_USER_ACTIVITY_IDX2,INDEX,TD_CMNBPMX1,21
19,CMNBPMX1,PK_EC_EVENT_ATTR,INDEX,TD_CMNBPMX1,19
